id,parcel_let,parcel_sec,parcel_num,jid,demolished
0,B,80,20,0,1972/01/01
1,B,80,21,1,1972/01/01
2,B,80,22,2,1975/01/01
3,B,80,19,3,1972/01/01
4,B,80,18,4,1972/01/01
5,B,80,17,5,1975/01/01
6,B,80,23,6,1972/01/01
7,B,80,24,7,1975/01/01
8,B,80,25,8,1972/01/01
9,B,80,26,9,1972/01/01
10,B,80,27,10,1975/01/01
11,B,80,1,11,1975/01/01
12,B,80,2,12,1972/01/01
13,B,80,3,13,1972/01/01
14,B,80,4,14,1975/01/01
15,B,80,6,15,1972/01/01
16,B,80,7,16,1975/01/01
17,B,80,5,17,1975/01/01
18,B,80,,18,1972/01/01
19,B,80,,19,1975/01/01
20,B,80,,20,1975/01/01
21,B,80,,21,1972/01/01
22,B,80,,22,1972/01/01
23,B,80,,23,1972/01/01
24,B,80,,24,1975/01/01
25,B,80,,25,1975/01/01
26,B,88,16,26,1972/01/01
27,B,88,17,27,1975/01/01
28,B,88,15,28,1975/01/01
29,B,88,14,29,1972/01/01
30,B,88,13,30,1972/01/01
31,B,88,12,31,1972/01/01
32,B,88,11,32,1972/01/01
33,B,88,10,33,1975/01/01
34,B,88,9,34,1972/01/01
35,B,88,8,35,1972/01/01
36,B,88,18,36,1972/01/01
37,B,88,19,37,1972/01/01
38,B,88,20,38,1972/01/01
39,B,88,1,39,1972/01/01
40,B,88,2,40,1972/01/01
41,B,88,3,41,1972/01/01
42,B,88,4,42,1972/01/01
43,B,88,5,43,1972/01/01
44,B,88,6,44,1972/01/01
45,B,88,7,45,1972/01/01
46,B,81,18,46,1972/01/01
47,B,81,17,47,1975/01/01
48,B,81,16,48,1975/01/01
49,B,81,9,49,1972/01/01
50,B,81,10,50,1972/01/01
51,B,81,11,51,1972/01/01
52,B,81,12,52,1972/01/01
53,B,81,13,53,1972/01/01
54,B,81,14,54,1975/01/01
55,B,81,15,55,1972/01/01
56,B,81,1,56,1972/01/01
57,B,81,2,57,1975/01/01
58,B,81,3,58,1972/01/01
59,B,87,15,59,1972/01/01
60,B,87,16,60,1972/01/01
61,B,87,17,61,1972/01/01
62,B,87,18,62,1972/01/01
63,B,87,19,63,1972/01/01
64,B,87,20,64,1975/01/01
65,B,87,21,65,1975/01/01
66,B,87,9,66,1972/01/01
67,B,87,10,67,1972/01/01
68,B,87,11,68,1975/01/01
69,B,87,12,69,1972/01/01
70,B,87,14,70,1975/01/01
71,B,86,20,71,1975/01/01
72,B,86,19,72,1972/01/01
73,B,86,18,73,1975/01/01
74,B,86,21,74,1972/01/01
75,B,86,22,75,1972/01/01
76,B,86,23,76,1975/01/01
77,B,86,24,77,1975/01/01
78,B,86,14,78,1975/01/01
79,B,86,13,79,1975/01/01
80,B,86,12,80,1975/01/01
81,B,86,11,81,1975/01/01
82,B,86,10,82,1972/01/01
83,B,86,9,83,1972/01/01
84,B,86,8,84,1972/01/01
85,B,86,7,85,1972/01/01
86,B,86,6,86,1972/01/01
87,B,86,5,87,1972/01/01
88,B,86,4,88,1975/01/01
89,B,86,3,89,1975/01/01
90,B,86,2,90,1975/01/01
91,B,86,1,91,1975/01/01
92,B,86,28,92,1972/01/01
93,B,86,27,93,1975/01/01
94,B,86,26,94,1975/01/01
95,B,86,25,95,1975/01/01
96,B,87,1,96,1972/01/01
97,B,87,25,97,1975/01/01
98,B,87,2,98,1975/01/01
99,B,87,3,99,1975/01/01
100,B,87,24,100,1975/01/01
101,B,87,23,101,1972/01/01
102,B,87,22,102,1975/01/01
103,B,87,8,103,1972/01/01
104,B,87,7,104,1972/01/01
105,B,87,6,105,1972/01/01
106,B,87,5,106,1972/01/01
107,B,87,4,107,1972/01/01
108,B,92,13,108,1975/01/01
109,B,92,14,109,1975/01/01
110,B,92,15,110,1975/01/01
111,B,92,16,111,1975/01/01
112,B,92,17,112,1972/01/01
113,B,92,18,113,1975/01/01
114,B,92,19,114,1975/01/01
115,B,92,20,115,1975/01/01
116,B,92,21,116,1975/01/01
117,B,92,2,117,1975/01/01
118,B,92,3,118,1975/01/01
119,B,92,4,119,1975/01/01
120,B,92,12,120,1975/01/01
121,B,92,11,121,1975/01/01
122,B,92,10,122,1975/01/01
123,B,92,9,123,1972/01/01
124,B,92,8,124,1972/01/01
125,B,92,7,125,1972/01/01
126,B,92,6,126,1975/01/01
127,B,92,5,127,1975/01/01
128,B,93,10,128,1975/01/01
129,B,93,11,129,1975/01/01
130,B,93,12,130,1975/01/01
131,B,93,,131,1975/01/01
132,B,93,13,132,1975/01/01
133,B,93,14,133,1975/01/01
134,B,93,1,134,1975/01/01
135,B,93,2,135,1975/01/01
136,B,93,9,136,1972/01/01
137,B,93,8,137,1975/01/01
138,B,93,7,138,1975/01/01
139,B,93,6,139,1975/01/01
140,B,93,5,140,1975/01/01
141,B,93,4,141,1975/01/01
142,B,93,3,142,1975/01/01
143,B,85,9,143,1975/01/01
144,B,85,2,144,1975/01/01
145,B,85,10,145,1972/01/01
146,B,85,11,146,1972/01/01
147,B,85,1,147,1975/01/01
148,B,94,1,148,1975/01/01
149,B,94,2,149,1975/01/01
150,B,94,3,150,1975/01/01
151,B,94,4,151,1975/01/01
152,B,94,5,152,1975/01/01
153,B,94,6,153,1975/01/01
154,B,94,7,154,1975/01/01
155,B,94,8,155,1975/01/01
156,B,94,10,156,1975/01/01
157,B,94,9,157,1975/01/01
158,B,94,11,158,1972/01/01
159,B,94,12,159,1975/01/01
160,B,94,13,160,1975/01/01
161,B,94,14,161,1975/01/01
162,A,2,1,162,1972/01/01
163,A,3,2,163,1975/01/01
164,A,3,1,164,1972/01/01
165,A,1,11,165,1975/01/01
166,A,1,12,166,1975/01/01
167,A,1,1,167,1975/01/01
168,A,1,2,168,1975/01/01
169,A,1,3,169,1975/01/01
170,A,1,4,170,1975/01/01
171,A,1,5,171,1975/01/01
172,A,4,17,172,1972/01/01
173,A,4,18,173,1975/01/01
174,A,4,19,174,1972/01/01
175,A,4,20,175,1972/01/01
176,A,4,21,176,1975/01/01
177,A,4,22,177,1975/01/01
178,A,4,23,178,1975/01/01
179,A,4,24,179,1975/01/01
180,A,4,25,180,1975/01/01
181,A,4,1,181,1972/01/01
182,A,4,3,182,1975/01/01
183,A,4,2,183,1972/01/01
184,A,4,4,184,1975/01/01
185,A,4,5,185,1972/01/01
186,A,4,6,186,1972/01/01
187,A,4,7,187,1972/01/01
188,A,4,8,188,1975/01/01
189,A,4,9,189,1975/01/01
190,A,4,10,190,1975/01/01
191,A,4,11,191,1972/01/01
192,A,4,12,192,1972/01/01
193,A,4,13,193,1975/01/01
194,A,4,14,194,1975/01/01
195,A,4,15,195,1975/01/01
196,A,4,16,196,1975/01/01
197,A,5,8,197,1975/01/01
198,A,5,9,198,1972/01/01
199,A,5,2,199,1972/01/01
200,A,5,1,200,1975/01/01
201,A,5,3,201,1972/01/01
202,A,5,4,202,1972/01/01
203,A,5,5,203,1975/01/01
204,A,5,7,204,1975/01/01
206,B,91,1,206,1975/01/01
207,B,91,2,207,1975/01/01
208,B,91,3,208,1975/01/01
209,B,91,4,209,1975/01/01
210,B,91,5,210,1975/01/01
211,B,91,6,211,1975/01/01
212,B,91,7,212,1975/01/01
213,B,91,8,213,1975/01/01
214,B,91,9,214,1975/01/01
215,B,91,10,215,1975/01/01
216,B,91,11,216,1975/01/01
217,B,91,12,217,1975/01/01
218,B,91,13,218,1972/01/01
219,B,91,14,219,1972/01/01
220,B,91,15,220,1972/01/01
221,B,91,16,221,1972/01/01
222,B,91,17,222,1975/01/01
223,B,91,18,223,1975/01/01
224,B,91,19,224,1972/01/01
225,B,91,24,225,1975/01/01
226,B,91,23,226,1975/01/01
227,B,91,22,227,1975/01/01
228,B,91,21,228,1975/01/01
230,B,90,1,230,1975/01/01
231,B,90,21,231,1975/01/01
232,B,90,20,232,1975/01/01
233,B,90,19,233,1972/01/01
234,B,90,18,234,1972/01/01
235,B,90,17,235,1975/01/01
236,B,90,16,236,1972/01/01
237,B,90,2,237,1975/01/01
238,B,90,3,238,1972/01/01
239,B,90,4,239,1972/01/01
240,B,90,5,240,1975/01/01
241,B,90,6,241,1975/01/01
242,B,90,7,242,1975/01/01
243,B,90,8,243,1975/01/01
244,B,90,9,244,1975/01/01
245,B,90,10,245,1972/01/01
246,B,90,11,246,1972/01/01
247,B,90,12,247,1975/01/01
248,B,90,13,248,1972/01/01
249,B,90,14,249,1975/01/01
250,B,90,15,250,1975/01/01
251,B,89,1,251,1975/01/01
252,B,89,2,252,1975/01/01
253,B,89,3,253,1975/01/01
254,B,89,4,254,1975/01/01
255,B,89,5,255,1975/01/01
256,B,89,6,256,1975/01/01
257,B,89,7,257,1975/01/01
258,B,89,8,258,1975/01/01
259,B,89,9,259,1975/01/01
260,B,89,10,260,1975/01/01
261,B,89,11,261,1975/01/01
262,B,89,12,262,1975/01/01
263,B,89,13,263,1975/01/01
264,B,89,14,264,1975/01/01
265,B,89,16,265,1972/01/01
266,B,89,15,266,1975/01/01
267,A,8,,267,1975/01/01
268,A,8,1,268,1972/01/01
269,A,8,2,269,1972/01/01
270,A,8,13,270,1972/01/01
271,A,8,3,271,1975/01/01
272,A,8,4,272,1975/01/01
273,A,8,12,273,1972/01/01
274,A,8,11,274,1975/01/01
275,A,8,10,275,1975/01/01
276,A,8,9,276,1975/01/01
277,A,8,8,277,1972/01/01
278,A,8,7,278,1975/01/01
279,A,8,6,279,1975/01/01
280,A,8,3,280,1975/01/01
281,B,105,1,281,
282,B,105,2,282,1972/01/01
283,B,112,7,283,1975/01/01
284,B,112,6,284,1975/01/01
285,B,112,5,285,1975/01/01
286,B,112,4,286,1975/01/01
287,B,112,3,287,1975/01/01
288,B,112,2,288,1975/01/01
289,B,112,1,289,1975/01/01
290,B,113,2,290,1975/01/01
291,B,113,1,291,1975/01/01
292,B,113,3,292,1975/01/01
293,B,113,4,293,1972/01/01
294,B,113,10,294,1972/01/01
295,B,113,9,295,1975/01/01
296,B,113,8,296,1975/01/01
297,B,113,7,297,1975/01/01
298,B,113,6,298,1975/01/01
299,B,113,5,299,1972/01/01
300,B,111,,300,2025/04/22
301,B,107,1,301,1975/01/01
302,B,107,2,302,1975/01/01
303,B,107,3,303,1975/01/01
304,B,107,4,304,1975/01/01
305,B,107,5,305,1975/01/01
306,B,107,6,306,1975/01/01
307,B,107,7,307,1975/01/01
308,B,107,8,308,1975/01/01
309,B,108,15,309,1975/01/01
310,B,108,14,310,1975/01/01
311,B,108,13,311,1975/01/01
312,B,108,12,312,1975/01/01
313,B,108,11,313,1975/01/01
314,B,108,10,314,1975/01/01
315,B,108,9,315,1975/01/01
316,B,108,6,316,1972/01/01
317,B,108,8,317,1972/01/01
318,B,108,7,318,1972/01/01
319,B,108,5,319,1975/01/01
320,B,108,4,320,1972/01/01
321,B,108,3,321,1972/01/01
322,B,108,2,322,1975/01/01
323,B,108,1,323,1972/01/01
324,B,108,17,324,1972/01/01
325,B,106,1,325,1975/01/01
326,B,106,2,326,1975/01/01
327,B,106,3,327,1975/01/01
328,B,106,4,328,1975/01/01
329,B,106,5,329,1975/01/01
330,B,106,7,330,1972/01/01
331,B,106,6,331,1972/01/01
332,B,106,8,332,1972/01/01
333,B,106,14,333,1972/01/01
334,B,106,9,334,1975/01/01
335,B,106,10,335,1975/01/01
336,B,106,11,336,1972/01/01
337,B,106,12,337,1972/01/01
338,B,106,13,338,1975/01/01
339,B,98,10,339,1972/01/01
340,B,98,9,340,1975/01/01
341,B,98,8,341,1975/01/01
342,B,98,5,342,1972/01/01
343,B,98,7,343,1975/01/01
344,B,98,5,344,1972/01/01
345,B,98,6,345,1972/01/01
346,B,98,4,346,1972/01/01
347,B,98,3,347,1975/01/01
348,B,98,2,348,1975/01/01
349,B,98,1,349,1975/01/01
350,B,99,6,350,1972/01/01
351,B,99,5,351,1975/01/01
352,B,99,4,352,1975/01/01
353,B,99,3,353,1975/01/01
354,B,99,1,354,1975/01/01
355,B,99,2,355,1972/01/01
356,B,104,11,356,1972/01/01
357,B,104,10,357,1972/01/01
358,B,104,9,358,1975/01/01
359,B,104,8,359,1975/01/01
360,B,104,7,360,1975/01/01
361,B,104,1,361,1972/01/01
362,B,104,12,362,1975/01/01
363,B,104,6,363,1975/01/01
364,B,104,5,364,1975/01/01
365,B,104,4,365,1975/01/01
366,B,104,13,366,1975/01/01
367,B,104,2,367,1975/01/01
368,B,104,3,368,1975/01/01
369,B,100,1,369,1972/01/01
370,B,100,2,370,1972/01/01
371,B,100,3,371,1975/01/01
372,B,100,4,372,1975/01/01
373,B,100,5,373,1975/01/01
374,B,100,6,374,1975/01/01
375,B,100,7,375,1975/01/01
376,B,100,8,376,1972/01/01
377,B,100,9,377,1972/01/01
378,B,100,10,378,1975/01/01
379,B,100,14,379,1975/01/01
380,B,100,13,380,1972/01/01
